rank,entity_type,view_index,view_name,rewiring_priority,recommended_rewiring_mode,reason_for_rank,expected_benefit,main_risk
1,DRUG,3,SMDdatabase,HIGH_PRIORITY_REWIRING_CANDIDATE,ADD_EDGES_WITH_KG_SUPPORT,score=4.5381; task_corr=0.0098; top10_enrichment=-0.0062; KG=COMPLEMENTARY; KG_top10_Jaccard=0.0947,Inject complementary KG/task neighborhood evidence while retaining the original similarity feature.,Changing source scores would alter database-evidence semantics; preserve values and build a separate adjacency.
2,DRUG,1,SMDsimilarity,HIGH_PRIORITY_REWIRING_CANDIDATE,ADD_EDGES_WITH_KG_SUPPORT,score=4.5347; task_corr=0.0246; top10_enrichment=0.0020; KG=COMPLEMENTARY; KG_top10_Jaccard=0.0886,Inject complementary KG/task neighborhood evidence while retaining the original similarity feature.,Changing source similarity scores would alter STITCH evidence semantics; preserve values and build a separate task adjacency.
3,DRUG,11,drug_p_e_sim,HIGH_PRIORITY_REWIRING_CANDIDATE,ADD_EDGES_WITH_KG_SUPPORT,score=4.5295; task_corr=0.0412; top10_enrichment=0.0055; KG=COMPLEMENTARY; KG_top10_Jaccard=0.0942,Inject complementary KG/task neighborhood evidence while retaining the original similarity feature.,Edges represent pathway/enzyme similarity; keep source values separate from any task/KG adjacency.
4,DRUG,6,Drug_word_sim,HIGH_PRIORITY_REWIRING_CANDIDATE,ADD_EDGES_WITH_KG_SUPPORT,score=4.5275; task_corr=0.0666; top10_enrichment=0.0208; KG=COMPLEMENTARY; KG_top10_Jaccard=0.0272,Inject complementary KG/task neighborhood evidence while retaining the original similarity feature.,This is molecular-representation similarity; preserve the similarity feature and derive any task graph separately.
5,DRUG,2,SMDexperimental,HIGH_PRIORITY_REWIRING_CANDIDATE,ADD_EDGES_WITH_KG_SUPPORT,score=4.5253; task_corr=0.0514; top10_enrichment=0.0245; KG=COMPLEMENTARY; KG_top10_Jaccard=0.0818,Inject complementary KG/task neighborhood evidence while retaining the original similarity feature.,Changing source scores would alter experimental-evidence semantics; preserve values and build a separate adjacency.
6,DRUG,7,drug_target_sim,HIGH_PRIORITY_REWIRING_CANDIDATE,ADD_EDGES_WITH_KG_SUPPORT,score=4.5172; task_corr=0.0726; top10_enrichment=0.0345; KG=COMPLEMENTARY; KG_top10_Jaccard=0.0943,Inject complementary KG/task neighborhood evidence while retaining the original similarity feature.,Edges mean shared target profiles; added KG-supported edges must remain distinguishable from original target similarity.
7,DRUG,5,SMDcombined,HIGH_PRIORITY_REWIRING_CANDIDATE,ADD_EDGES_WITH_KG_SUPPORT,score=4.5099; task_corr=0.1039; top10_enrichment=0.0551; KG=COMPLEMENTARY; KG_top10_Jaccard=0.0582,Inject complementary KG/task neighborhood evidence while retaining the original similarity feature.,Changing combined source scores would alter their evidence meaning; preserve values and build a separate adjacency.
8,DRUG,4,SMDtext,HIGH_PRIORITY_REWIRING_CANDIDATE,ADD_EDGES_WITH_KG_SUPPORT,score=4.5096; task_corr=0.1039; top10_enrichment=0.0534; KG=COMPLEMENTARY; KG_top10_Jaccard=0.0642,Inject complementary KG/task neighborhood evidence while retaining the original similarity feature.,Changing source scores would alter text-mining evidence semantics; preserve values and build a separate adjacency.
9,DRUG,8,drug_f_sim,NEEDS_MORE_EVIDENCE,NEEDS_REVIEW,score=1.5377; task_corr=0.0295; top10_enrichment=0.0160; KG=EFFECTIVELY_UNRELATED; KG_top10_Jaccard=0.0255,Inject complementary KG/task neighborhood evidence while retaining the original similarity feature.,Do not rewrite chemical similarity values; only build a separate task-aware adjacency or prune an adjacency view.
10,SIDE_EFFECT,2,side_glove_sim,NEEDS_MORE_EVIDENCE,NEEDS_REVIEW,score=1.4874; task_corr=0.0129; top10_enrichment=0.0452; KG=EFFECTIVELY_UNRELATED; KG_top10_Jaccard=0.0263,Inject complementary KG/task neighborhood evidence while retaining the original similarity feature.,Edges represent lexical distributional similarity; added biomedical edges must remain a separate adjacency.
11,SIDE_EFFECT,1,effect_side_semantic,NEEDS_MORE_EVIDENCE,NEEDS_REVIEW,score=1.4673; task_corr=0.0875; top10_enrichment=0.0547; KG=EFFECTIVELY_UNRELATED; KG_top10_Jaccard=0.0263,Inject complementary KG/task neighborhood evidence while retaining the original similarity feature.,Changing values changes ontology/descriptor semantics; preserve them and build a separate adjacency.
