matrix_index,drug_name,candidate_count,identity_class,candidate_ids,candidate_names,inchikey_values,smiles_count,notes
0,lepirudin,2,insufficient_structure,"[""CHEMBL1201666"",""DRUGBANK:DB00001""]","[""LEPIRUDIN"",""Lepirudin""]",[],0,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=0; non-empty canonical SMILES=0. No namespace was preferred.
1,bivalirudin,2,insufficient_structure,"[""CHEMBL5314348"",""DRUGBANK:DB00006""]","[""BIVALIRUDIN"",""Bivalirudin""]","[""OIRCOABEOLEUMC-GEJPAHFPSA-N""]",1,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=1; non-empty canonical SMILES=1. No namespace was preferred.
7,insulin.lispro,2,insufficient_structure,"[""CHEMBL1201538"",""DRUGBANK:DB00046""]","[""INSULIN LISPRO"",""Insulin lispro""]",[],0,Candidate source: local Parquet dot-normalized recovery. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=0; non-empty canonical SMILES=0. No namespace was preferred.
8,insulin.glargine,2,insufficient_structure,"[""CHEMBL1201497"",""DRUGBANK:DB00047""]","[""INSULIN GLARGINE"",""Insulin glargine""]",[],0,Candidate source: local Parquet dot-normalized recovery. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=0; non-empty canonical SMILES=0. No namespace was preferred.
9,rasburicase,2,insufficient_structure,"[""CHEMBL1201594"",""DRUGBANK:DB00049""]","[""RASBURICASE"",""Rasburicase""]",[],0,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=0; non-empty canonical SMILES=0. No namespace was preferred.
11,eptifibatide,2,equivalent_by_inchikey,"[""CHEMBL1174"",""DRUGBANK:DB00063""]","[""EPTIFIBATIDE"",""Eptifibatide""]","[""CZKPOZZJODAYPZ-LROMGURASA-N""]",2,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; shared InChIKey(s): ['CZKPOZZJODAYPZ-LROMGURASA-N']. No namespace was preferred.
13,daptomycin,3,mixed_identity,"[""CHEMBL387675"",""DRUGBANK:DB00080"",""RXNORM:22299""]","[""DAPTOMYCIN"",""Daptomycin"",""daptomycin""]","[""DOAKLVKFURWEDJ-QCMAZARJSA-N"",""DOAKLVKFURWEDJ-RWDRXURGSA-N""]",2,Candidate source: original candidate CSV. Compared 3 top-evidence candidate(s) of 3 total; distinct non-empty InChIKeys=2; distinct non-empty canonical SMILES=2. No namespace was preferred.
17,interferon.alfa-2b,2,insufficient_structure,"[""CHEMBL1201558"",""DRUGBANK:DB00105""]","[""INTERFERON ALFA-2B"",""Interferon alfa-2b""]",[],0,Candidate source: local Parquet dot-normalized recovery. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=0; non-empty canonical SMILES=0. No namespace was preferred.
19,oxytocin,2,equivalent_by_inchikey,"[""CHEMBL395429"",""DRUGBANK:DB00107""]","[""OXYTOCIN"",""Oxytocin""]","[""XNOPRXBHLZRZKH-DSZYJQQASA-N""]",2,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; shared InChIKey(s): ['XNOPRXBHLZRZKH-DSZYJQQASA-N']. No namespace was preferred.
20,enfuvirtide,2,equivalent_by_inchikey,"[""CHEMBL525076"",""DRUGBANK:DB00109""]","[""ENFUVIRTIDE"",""Enfuvirtide""]","[""PEASPLKKXBYDKL-FXEVSJAOSA-N""]",2,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; shared InChIKey(s): ['PEASPLKKXBYDKL-FXEVSJAOSA-N']. No namespace was preferred.
30,cevimeline,3,equivalent_by_smiles,"[""CHEMBL168815"",""CHEMBL2218917"",""DRUGBANK:DB00185""]","[""CEVIMELINE"",""CEVIMELINE HYDROCHLORIDE"",""Cevimeline""]","[""WUTYZMFRCNBCHQ-LHIURRSHSA-N"",""WUTYZMFRCNBCHQ-UHFFFAOYSA-N""]",1,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 3 total; shared canonical SMILES count: 1. No namespace was preferred.
33,bortezomib,2,insufficient_structure,"[""CHEMBL325041"",""RXNORM:358258""]","[""BORTEZOMIB"",""bortezomib""]","[""GXJABQQUPOEUTA-RDJZCZTQSA-N""]",1,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=1; non-empty canonical SMILES=1. No namespace was preferred.
67,anagrelide,2,insufficient_structure,"[""CHEMBL760"",""RXNORM:596724""]","[""ANAGRELIDE"",""anagrelide""]","[""OTBXOEAOVRKTNQ-UHFFFAOYSA-N""]",1,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=1; non-empty canonical SMILES=1. No namespace was preferred.
